Date,Open,High,Low,Close,Volume,Adj Close
2014-07-28,6791.600098,6833.700195,6624.700195,6679.200195,672875000,6679.200195
2014-07-21,6749.50,6830.799805,6715.799805,6791.600098,560317800,6791.600098
2014-07-14,6690.200195,6792.600098,6690.200195,6749.50,580170200,6749.50
2014-07-07,6866.100098,6866.399902,6643.600098,6690.200195,590008700,6690.200195
2014-06-30,6757.799805,6875.299805,6730.50,6866.100098,492300300,6866.100098
2014-06-23,6825.200195,6829.799805,6701.600098,6757.799805,608370400,6757.799805
2014-06-16,6777.899902,6840.600098,6736.100098,6825.200195,655532000,6825.200195
2014-06-09,6858.200195,6879.00,6758.200195,6777.899902,553611100,6777.899902
2014-06-02,6844.50,6874.399902,6795.299805,6858.200195,611312200,6858.200195
2014-05-27,6815.799805,6882.100098,6815.399902,6844.50,685088500,6844.50
2014-05-19,6855.799805,6862.200195,6782.799805,6815.799805,642184100,6815.799805
2014-05-12,6814.600098,6894.899902,6813.50,6855.799805,722012600,6855.799805
2014-05-06,6822.399902,6840.399902,6766.799805,6814.600098,734418500,6814.600098
2014-04-28,6685.700195,6838.200195,6682.899902,6822.399902,699234200,6822.399902
2014-04-22,6625.299805,6724.600098,6625.299805,6685.700195,669163500,6685.700195
2014-04-14,6561.700195,6627.299805,6507.100098,6625.299805,842693800,6625.299805
2014-04-07,6695.600098,6695.600098,6538.799805,6561.700195,794493500,6561.700195
2014-03-31,6615.600098,6706.299805,6583.100098,6695.600098,849376700,6695.600098
2014-03-24,6557.200195,6643.600098,6506.399902,6615.600098,943690400,6615.600098
2014-03-17,6527.899902,6628.200195,6492.600098,6557.200195,952836600,6557.200195
2014-03-10,6712.700195,6757.00,6500.399902,6527.899902,864885200,6527.899902
2014-03-03,6809.700195,6827.200195,6671.899902,6712.700195,730658800,6712.700195
2014-02-24,6838.100098,6866.399902,6733.50,6809.700195,951248800,6809.700195
2014-02-17,6663.600098,6859.899902,6661.50,6838.100098,804715200,6838.100098
2014-02-10,6571.700195,6708.200195,6565.299805,6663.600098,886490100,6663.600098
2014-02-03,6510.399902,6596.299805,6416.700195,6571.700195,817313300,6571.700195
2014-01-27,6663.700195,6665.399902,6421.299805,6510.399902,831661900,6510.399902
2014-01-20,6829.299805,6867.399902,6654.899902,6663.700195,621048000,6663.700195
2014-01-13,6739.899902,6840.50,6694.100098,6829.299805,714797300,6829.299805
2014-01-06,6730.700195,6769.899902,6679.299805,6739.899902,702259200,6739.899902
2013-12-30,6750.899902,6768.399902,6699.299805,6730.700195,256635200,6730.700195
2013-12-23,6606.600098,6754.100098,6606.200195,6750.899902,148986200,6750.899902
2013-12-16,6440.00,6616.799805,6422.200195,6606.600098,702529300,6606.600098
2013-12-09,6552.00,6571.899902,6433.50,6440.00,588474500,6440.00
2013-12-02,6650.600098,6657.399902,6479.700195,6552.00,629511700,6552.00
2013-11-25,6674.299805,6709.100098,6635.700195,6650.600098,606084600,6650.600098
2013-11-18,6693.399902,6732.100098,6643.50,6674.299805,521692200,6674.299805
2013-11-11,6708.399902,6744.799805,6614.00,6693.399902,631639100,6693.399902
2013-11-04,6734.700195,6780.100098,6643.899902,6708.399902,622155700,6708.399902
2013-10-28,6721.299805,6819.899902,6704.200195,6734.700195,689227300,6734.700195
2013-10-21,6622.600098,6729.700195,6617.799805,6721.299805,576876500,6721.299805
2013-10-14,6487.200195,6622.700195,6464.399902,6622.600098,616444900,6622.600098
2013-10-07,6453.899902,6489.200195,6316.899902,6487.200195,596873900,6487.200195
2013-09-30,6512.700195,6512.700195,6386.200195,6453.899902,597679000,6453.899902
2013-09-23,6596.399902,6601.50,6487.299805,6512.700195,638799200,6512.700195
2013-09-16,6583.799805,6659.100098,6532.50,6596.399902,978685100,6596.399902
2013-09-09,6547.299805,6606.100098,6508.799805,6583.799805,627524000,6583.799805
2013-09-02,6412.899902,6568.200195,6412.899902,6547.299805,683235600,6547.299805
2013-08-26,6492.100098,6502.200195,6393.700195,6412.899902,636459300,6412.899902
2013-08-19,6500.00,6516.700195,6386.700195,6492.100098,536591700,6492.100098
2013-08-12,6583.399902,6628.00,6460.100098,6500.00,606129100,6500.00
2013-08-05,6647.899902,6685.00,6507.200195,6583.399902,628564200,6583.399902
2013-07-29,6554.799805,6696.600098,6544.100098,6647.899902,714583300,6647.899902
2013-07-22,6630.700195,6662.200195,6535.200195,6554.799805,546487000,6554.799805
